ID,Symbol,CreateTime,Body,Sentiment
258388206,TSLA,2020-11-21T07:55:09Z,b'$TSLA So any REALISTIC price targets after TSLA gets added to the S&amp;P on 12/21?   One day?  One week?   One month?   \n \nOr does this go back down to fucking $420 again?',Bullish
258388062,TSLA,2020-11-21T07:49:04Z,b'$AAPL $DKNG $TSLA Investor mistakes to avoid! Don&#39;t do them!\nhttps://youtu.be/_iF3FxwdAxw',None
258387974,TSLA,2020-11-21T07:45:02Z,b'\xf0\x9f\x92\xb0Top 5 Trending Tickers on Twitter# Discord# StockTwits and Yahoo! message boards\xf0\x9f\x92\xb2 \n \n1. $NIO\n2. $SPY\n3. $DKNG\n4. $TSLA\n5. $AAPL\n \n \nTeam RVR Gains for the last 72 hours: 117% \n \n\xf0\x9f\x91\x8aHappy Trading!\xf0\x9f\x98\x8e',Bullish
258387720,TSLA,2020-11-21T07:34:54Z,b'$TSLA 500 next week \nhttps://youtu.be/9uk_5Zg6hKE',Bullish
258387706,TSLA,2020-11-21T07:34:32Z,b'$TSLA https://www.youtube.com/watch?v=EtavJqNRFcE',Bullish
258387629,TSLA,2020-11-21T07:30:58Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $500 Calls\n01/15/2021 Exp\n\nTrade Volume: 176 Contracts\n\n$1#024#320 was traded now.\n\nCurrent Stock Price: $497.38\n\nTrade Type: Split\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258387585,TSLA,2020-11-21T07:29:18Z,b'$TSLA ',Bearish
258387340,TSLA,2020-11-21T07:20:27Z,b'$TSLA Super bullish news!!!!!!',Bullish
258387290,TSLA,2020-11-21T07:18:37Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $500 Calls\n12/24/2020 Exp\n\nTrade Volume: 300 Contracts\n\n$1#272#000 was traded now.\n\nCurrent Stock Price: $492.06\n\nTrade Type: Sweep\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258387254,TSLA,2020-11-21T07:17:07Z,b'$TSLA',Bullish
258387224,TSLA,2020-11-21T07:16:01Z,b'How To Manage Your Capital As a Profitable Options Trader.\n\nhttps://www.smartoptions.ai/post/howtomanagecapital\n\n$spy $tsla $aapl',None
258387177,TSLA,2020-11-21T07:13:59Z,b'$SPY $SUNW $TSLA \nIf we could just listen to each other and  disagree respectfully without being cruel # our world would be great place .\n\nJust imagine how peaceful and progressive it would be !\n\nBefore saying anything # listen to the other person carefully . If the other person provides enough evidence which you can check whether those are genuine or not # then agree with him/her.\n\nIf the other person can&#39;t provide enough evidence or those are not genuine# then just say you don&#39;t agree and the other person might be mistaken politely.\n\nBefore being anything else be civilized and kind.\n\nWe progress by helping each other# innovating new technologies # sharing ideas .\n\nAfter all# we are social animals. We need others&#39; company to progress and live peacefully. \n\nIt is my personal view about how we should act.\nLet me know your opinion# Thanks',None
258387048,TSLA,2020-11-21T07:08:06Z,b'$TSLA https://www.cnbc.com/amp/2020/11/20/tesla-gets-exemption-from-new-california-covid-19-health-orders.html\n\nHuge news for next week!',Bullish
258386979,TSLA,2020-11-21T07:05:07Z,b'$TSLA short short short!',Bearish
258386668,TSLA,2020-11-21T06:52:42Z,b'$TSLA No matter how high Tesla goes# it has less potential to rise than NIO# right?',None
258386294,TSLA,2020-11-21T06:40:31Z,b'$TSLA bahahahahahahahahahahahahahahhahahahhahahababa',None
258386211,TSLA,2020-11-21T06:37:48Z,b'$TSLA $NIO $LI $XPEV \nThis is insider information\nhttps://youtu.be/00hrm90bmQY',Bullish
258386190,TSLA,2020-11-21T06:37:10Z,b'$TSLA this is so sweet https://www.google.com/amp/s/www.cnbc.com/amp/2020/11/20/tesla-gets-exemption-from-new-california-covid-19-health-orders.html',None
258386024,TSLA,2020-11-21T06:31:15Z,b'$TSLA https://youtu.be/XUL38fWY8LY',Bullish
258385992,TSLA,2020-11-21T06:30:19Z,b'$TSLA got to wait patiently and let it drop to upper 3s before I buy!',None
258385749,TSLA,2020-11-21T06:23:36Z,b'$tsla $jmia $mara $mro $snap    \n\nMake as much as you want# i&#39;ve made 35K last week. Best room on the net.  \nstocktwits.com/ericarker/message/258384415',Bullish
258385452,TSLA,2020-11-21T06:16:50Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $450 Puts\n03/19/2021 Exp\n\nTrade Volume: 206 Contracts\n\n$1#213#340 was traded now.\n\nCurrent Stock Price: $499.45\n\nTrade Type: Split\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bearish
258385425,TSLA,2020-11-21T06:16:01Z,b'Why You Should Never Short The Stock Market\n\nsmartoptions.ai/post/nevershortstocks\n\n$spy $aapl $tsla',None
258385218,TSLA,2020-11-21T06:10:40Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $600 Calls\n12/31/2020 Exp\n\nTrade Volume: 461 Contracts\n\n$1#175#550 was traded now.\n\nCurrent Stock Price: $505.60\n\nTrade Type: Split\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258385199,TSLA,2020-11-21T06:10:16Z,b'$TSLA RSI overbought# MACD about to cross the signal line. Support at 460 &amp; Resistance at 491. I&#39;m a bull# but hope it goes down a bit so I can buy somee',Bullish
258385159,TSLA,2020-11-21T06:09:10Z,b'$TSLA who of you bought this &gt;500?',None
258384963,TSLA,2020-11-21T06:04:29Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $450 Calls\n11/20/2020 Exp\n\nTrade Volume: 300 Contracts\n\n$1#682#700 was traded now.\n\nCurrent Stock Price: $505.69\n\nTrade Type: Sweep\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258384342,TSLA,2020-11-21T05:52:08Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $500 Calls\n01/15/2021 Exp\n\nTrade Volume: 200 Contracts\n\n$1#323#400 was traded now.\n\nCurrent Stock Price: $504.66\n\nTrade Type: Sweep\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258384098,TSLA,2020-11-21T05:45:58Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $400 Puts\n06/18/2021 Exp\n\nTrade Volume: 239 Contracts\n\n$1#338#400 was traded now.\n\nCurrent Stock Price: $500.67\n\nTrade Type: Sweep\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bearish
258384090,TSLA,2020-11-21T05:45:47Z,b'$TSLA Trillion dollar valuation around the corner....',Bullish
258383924,TSLA,2020-11-21T05:42:03Z,b'$TSLA im bullish here but yall need to stop posing the same damn article talking about shorts getting wrecked. WE GET IT AND WE KNOW# its just spam at this point',Bullish
258383556,TSLA,2020-11-21T05:34:36Z,b'$TSLA  Verses Lucid \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n https://www.facebook.com/donutmedia/videos/359077342205180/',None
258383359,TSLA,2020-11-21T05:30:10Z,b'$TSLA https://www.marketwatch.com/story/only-one-stock-has-crushed-short-sellers-more-than-apple-amazon-and-alibaba-over-the-past-5-years-11603732238',Bullish
