ID,Symbol,CreateTime,Body,Sentiment
255550955,AAPL,2020-11-10T06:15:05Z,b'$AAPL NEW ARTICLE : Apple&#39;s Latest Macs Could Start a New Chip War https://www.stck.pro/news/AAPL/9023646',None
255550917,AAPL,2020-11-10T06:14:08Z,b'$AAPL Apple will save the market tommorow. \xf0\x9f\x9a\x80',Bullish
255550913,AAPL,2020-11-10T06:14:03Z,b'$AAPL Apple&#39;s Latest Macs Could Start a New Chip War http://dlvr.it/RlMFTK',None
255550661,AAPL,2020-11-10T06:08:59Z,b'$VHC Just in case you wanna see the jury verdict yourself of what $AAPL owes THIS time.\n https://patentlyo.com/patent/2020/11/virnetx-another-verdict.html',None
255550638,AAPL,2020-11-10T06:08:26Z,b'$CRON $TDOC $WKHS $AAPL  \xe2\x80\x9cAnother winning alert based on our custom ThinkorSwim script\xe2\x80\x9d...   https://stocktwits.com/luiseburley/message/254500499',Bullish
255550455,AAPL,2020-11-10T06:05:04Z,b'$AAPL \n\nHoping for Titan or AR glasses!',None
255550381,AAPL,2020-11-10T06:04:20Z,b'$AAPL \nWe might see $102 this week if event flops# very high possibility. Why is this can&#39;t go to pre-split price (tim sold at $125 just the of the split date. We have seen September event the. October big 5G event then November event.\nIf iphone 5G can&#39;t push the SP to ATH then what else can push it higher. Looks like it grew well ahead of the time.\nNo OTM calls here folks',None
255550143,AAPL,2020-11-10T06:00:11Z,b'$AAPL \n\nStock futures will tell the story!',Bullish
255549749,AAPL,2020-11-10T05:53:11Z,b'$AAPL\n so is tomorrow a big day',Bullish
255549689,AAPL,2020-11-10T05:52:00Z,b'$AAPL\n This should only go up! Best stock there is.',Bullish
255549638,AAPL,2020-11-10T05:50:47Z,b'$AAPL $TSLA $WWR $GE   I&#39;ve made $37K with them#.. By their alert\xe2\x80\xa6  https://stocktwits.com/eliciaeason/message/254783297',Bullish
255549557,AAPL,2020-11-10T05:49:32Z,b'$AAPL Bite into me guys you know you wanna buy into me.\xf0\x9f\x8d\x8f\xf0\x9f\x91\x99',Bullish
255549359,AAPL,2020-11-10T05:46:02Z,b'$AAPL I think this is fall tomorrow for sure. We know this trend for a while but overall it\xe2\x80\x99ll comeback stronger.',None
255549170,AAPL,2020-11-10T05:43:03Z,b'$AAPL Tomorrow its gonna reach $119 before falling.',Bullish
255549165,AAPL,2020-11-10T05:42:56Z,b'$AAPL looking for 105-110 for re entry',None
255548694,AAPL,2020-11-10T05:35:07Z,b'$AAPL Boot Camp should allow users to have multiple partitions. Users should be able to use Mac# Windows# and Linux. Or 2 different Windows versions. \n \nIf ARM cannot handle the virtualization of multiple operating systems# then there should be a direct boot option. If there is no sufficient option to use Windows# as niche as the Boot Camp userbase may be# it will impact sales negatively.',None
255548073,AAPL,2020-11-10T05:26:05Z,b'$AAPL how many days they will subdue this stock .. its $135 Soon',Bullish
255548024,AAPL,2020-11-10T05:25:29Z,b'$AAPL futures were up today and tech went down. Who\xe2\x80\x99s to say the opposite can\xe2\x80\x99t happen tomorrow.',Bullish
255547896,AAPL,2020-11-10T05:23:32Z,b'$AAPL poor performance by $AAPL .',None
255547862,AAPL,2020-11-10T05:23:09Z,b'$AAPL This should only go up! Best stock there is.',Bullish
255547718,AAPL,2020-11-10T05:21:10Z,b'If you really want to make a Huge Profit on stock trading. Then this Community is for you:.~ stocksgainer.net/\n\n$AAPL ',None
255547637,AAPL,2020-11-10T05:20:05Z,b'$AAPL let it kill call options . Too many bullish bets',Bearish
255547393,AAPL,2020-11-10T05:16:43Z,b'$AAPL Wait why the stock price is lower now?',Bullish
255546665,AAPL,2020-11-10T05:06:11Z,b'$AAPL so is tomorrow a big day',None
255546245,AAPL,2020-11-10T05:00:12Z,b'$AAPL Apple Silicon',None
255546153,AAPL,2020-11-10T04:58:57Z,b'The election is over# Biden is now your daddy! Get over it snowflakes. It\xe2\x80\x99s about time we have a qualified president who can speak in full sentences and understand basic science. \n \n \n$aapl $zm $spy $qqq $amzn',None
255546088,AAPL,2020-11-10T04:58:03Z,b'The Secrets They Don&#39;t Want You To Know.\n\nhttps://www.smartoptions.ai/post/secretsyoushouldknow\n\n$spy $tsla $aapl',None
