ID,Symbol,CreateTime,Body,Sentiment
256794249,AAPL,2020-11-15T20:10:15Z,b'How To Manage Your Capital As a Profitable Options Trader.\n\nhttps://www.smartoptions.ai/post/howtomanagecapital\n\n$spy $tsla $aapl',None
256793505,AAPL,2020-11-15T20:00:05Z,b'$AAPL NEW ARTICLE : Cirrus&#39; Quiet Well Maybe Not So Quiet March Forward https://www.stck.pro/news/AAPL/9149720',None
256793149,AAPL,2020-11-15T19:55:31Z,b'$SPY the republicans risk losing moderates the longer this goes on because it just doesn&#39;t fit common sense when his own people say it&#39;s been the most secure (and he lost two red states)# so that&#39;s not a good thing for them longer term.   $QQQ $XLF $AAPL',None
256792529,AAPL,2020-11-15T19:46:23Z,b'$AAPL lockdowns coming back..tech to surge',None
256792282,AAPL,2020-11-15T19:43:12Z,b'$AAPL Turn on Fox. He lost.',None
256792111,AAPL,2020-11-15T19:41:05Z,b'$AAPL Each story worse than the next; extreme short term bulls whistling through the graveyard...',Bearish
256791625,AAPL,2020-11-15T19:35:24Z,b'$AAPL 14',Bearish
256791592,AAPL,2020-11-15T19:35:02Z,b'\xf0\x9f\x92\xb8Top 5 Trending Tickers on Twitter# Discord# StockTwits and Yahoo! message boards\xf0\x9f\x94\xa5 \n \n1. $NIO\n2. $SPY\n3. $DKNG\n4. $TSLA\n5. $AAPL\n \n \nTeam RVR Gains for the last 72 hours: 160% \n \n\xf0\x9f\x98\x8dHappy Trading!\xf0\x9f\x93\xa2',Bullish
256791528,AAPL,2020-11-15T19:34:20Z,b'$spy people are tired of drama and want to move forward with their lives# that&#39;s partly why independents went with the D&#39;s this time.   $qqq $xlf $aapl',None
256791310,AAPL,2020-11-15T19:31:43Z,b'$AAPL $SPY $QQQ $TSLA $FB I am dumping everything tomorrow as Covid is out of control. Markets will drop hard as states re close again. To put in prospective we had double the amount of Covid cases on Friday (1 day) as China has had in total since this began',Bearish
256790872,AAPL,2020-11-15T19:26:27Z,b'Hello world# I have a suggestion# let us adopt it \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x86 \n \n$AAPL $TSLA $SPY $AMD $BTC.X',Bullish
256790598,AAPL,2020-11-15T19:22:46Z,b'$AAPL aapl need to go on a acquisition rampage\nUse half of the cash so we can get to $200 fast \xf0\x9f\x98\x82\xf0\x9f\x98\x82',Bullish
256790483,AAPL,2020-11-15T19:21:25Z,b'$SPY 11 pro max to 12 pro max is a worthy update! $AAPL \n\n\xf0\x9f\xa4\x91\xf0\x9f\xa4\x91\xf0\x9f\xa4\x91',Bullish
