ID,Symbol,CreateTime,Body,Sentiment
258464428,AAPL,2020-11-22T06:13:44Z,b'$AYRO  Bullish Price Objective(Tentative): 22.75\n\n$AAPL Bullish Price Objective(Tentative): 168\n\n$WMT Bullish Price Objective(Tentative): 173\n\n$DKNG Bullish Price Objective(Tentative): 57\n\n$PENN  Bullish Price Objective(Tentative): 82',None
258464179,AAPL,2020-11-22T06:06:58Z,b'$AAPL',Bullish
258464152,AAPL,2020-11-22T06:05:42Z,b'$AYRO  $AAPL $DKNG $PENN  $WMT   BULLISH',None
258463423,AAPL,2020-11-22T05:45:57Z,b'$TSLA You are all blind as bats. And I\xe2\x80\x99m not commenting about Tesla# but the general market as it stands. It will TANK very very soon. Think# and don\xe2\x80\x99t be stubborn about your position. Can\xe2\x80\x99t you see the market is propped up beyond its ability to stay afloat? It\xe2\x80\x99s going to crash. BEARISH and I\xe2\x80\x99m throwing my life savings into shorting the entire American Economy. I call massive bullshit.  \n$BABA  $AAPL',Bearish
258462861,AAPL,2020-11-22T05:31:04Z,b'$AAPL: The long and short term trends are both positive. This is looking good! https://www.chartmill.com/stock/quote/AAPL/technical-analysis?key=bb853040-a4ac-41c6-b549-d218d2f21b32&amp;utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=AAPL&amp;utm_campaign=social_tracking',None
258462843,AAPL,2020-11-22T05:30:40Z,b'$AAPL analyst still don\xe2\x80\x99t know what will drive Apple\xe2\x80\x99s future revenues: today we see Services; Wearables; iPhone; iPad; Macs. What does the future add and which will be a new category-',None
258462813,AAPL,2020-11-22T05:29:56Z,b'$AAPL holding 400 shares ... 125 average ... not selling for a couple maybe few years ... just got in want to see what happens ... absolutely love all this new technology apple is coming out with .. and not to mention project titan .. am willing to wait it out .. this could possibly be a good chunk of my retirement \n\nApple \nMicrosoft \nTesla \nAmazon \n\nAbsolutely no penny stocks no Chinese no get rich quick Scheme ... seen people lose horribly lmao GNUS .. Etc',Bullish
258462711,AAPL,2020-11-22T05:27:05Z,b'Money monday and top runners watch follow and subscribe for market best trading ideas daily \n\nThis week Watchlist and set up \nVaccines vs. FEDS vs. OPEC prep vs. lockdowns vs. Housings vs. Enmp\n\nLeft screen\nSHAK (my personal #1 watch ) MU AMD $AAPL \nTECH pump  \nStudies used: momentum belthold\nTime used:1m (may vary)\n\nRight screen \n/es $SPY \nStudies used: RSI CCI MACD MOMENTUM moneyflow Bbands DMA Hammer \nTime used 5d5m\nTargeting 360s by Tuesday (latest) \n\nMiddle top screen - 9 hard options \nGE $PFE WDAY JD BEKE WMT LLY MRNA AZN \nStudies used: Bethold hammer \nTime used: 5m \n\nMiddel bottom \nGAP UP (Larger portion of screen)\nLive Text News \nLive Trader Tv \nAYRO close watch \n\nFar right - 9 TOP MARKET RUNNERS\nNIO $XPEV LI SBE FCX UBER $SOLO RIOT JMIA \nStudies used: bethold hammer \nTime used: MIXED 5/15m \nI\nMessage for questions anytime',Bullish
258462325,AAPL,2020-11-22T05:16:01Z,b'5 Bad Habits of An Options Trader (and the Solutions)\n\nwww.smartoptions.ai/post/badhabits\n\n$spy $aapl $tsla',None
258461697,AAPL,2020-11-22T05:00:03Z,b'\xf0\x9f\x8f\x86Top 5 Trending Tickers on Twitter# Discord# StockTwits and Yahoo! message boards\xf0\x9f\xa4\x91 \n \n1. $NIO\n2. $SPY\n3. $DKNG\n4. $TSLA\n5. $AAPL\n \n \nTeam RVR Gains for the last 72 hours: 137% \n \n\xf0\x9f\x98\x8eHappy Trading!\xf0\x9f\xa4\x91',Bullish
258460528,AAPL,2020-11-22T04:34:14Z,b'$AAPL: I prefer to have AAPL leg down one more time to touch my purple curve.',None
258459877,AAPL,2020-11-22T04:21:05Z,b'$AAPL if you had own Apple since 2005# 2006 and held it with 7:1 split and 4:1 split# and bought around $70 to $110# today u cost today is $4.40# $4.87# $23.27# $27.50# 32.70',None
258459594,AAPL,2020-11-22T04:16:01Z,b'The Secrets They Don&#39;t Want You To Know.\n\nhttps://www.smartoptions.ai/post/secretsyoushouldknow\n\n$spy $tsla $aapl',None
258459418,AAPL,2020-11-22T04:13:18Z,b'$AAPL \nApps gonna fall around 80 t 90 $$ sooonn.\nI not gonna burn my ass more. M move to Tesla hugs pop up coming...',None
258459293,AAPL,2020-11-22T04:10:51Z,b'$AAPL $MSFT $SPY $DJIA I think I figured out why Trump\xe2\x80\x99s got such a dedicated base regardless of the lunacy and moronic actions. We have a lot of people in rural America who simply feel threatened# that their rural culture and way of life is somehow under assault  by Democrats# just because of the natural pressure asserted by the progress of society. And Trump has sold himself as their Champion. Here\xe2\x80\x99s the thing though... Democrats have no interest in destroying our food/energy producing sector in any way and there\xe2\x80\x99s no rational reason to consider a born rich New Yorker as a champion of the small town people. The man is a disgrace to America# does not give two shits about our country brothers and sisters beyond their votes# and quite frankly# has sown more discord amongst Americans than even McCarthy. God help us if he doesn\xe2\x80\x99t drop his attempted coup. I hope karma pays him a swift and strong visit.',Bullish
258459197,AAPL,2020-11-22T04:09:25Z,b'$AAPL I will remain patient here# patience is part of wealth \xf0\x9f\xa4\xab',Bullish
258458665,AAPL,2020-11-22T04:00:10Z,b'$SPY $QQQ bears over the weekend while holding puts and short positions. Nervous about possible weekend news or Monday vaccine news next gap up? Healthy pullback Friday loaded more of my favorite long term stocks $AAPL',Bullish
258458288,AAPL,2020-11-22T03:53:39Z,b'$AAPL are they insane??? Ya let me login and sell the biggest company in the world \xf0\x9f\x8c\x8e\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3... Right ahead of 5G revolution. \nNot to mention: Apple Glasses \xf0\x9f\x91\x93 &amp;&amp;&amp;&amp;&amp;&amp;&amp; (Titan EV is still being worked on 100%) You would eat your words if you sold $AAPL #Monopoly',Bullish
258458067,AAPL,2020-11-22T03:49:53Z,b'$AAPL still 130 possible in 2020?',Bullish
258457523,AAPL,2020-11-22T03:40:05Z,b'What are the EMAs and how to use them. https://youtu.be/PpspXYPVocU $SPY $SPCE $NVDA $AAPL $KNDI  More free breakdowns on my youtube!',Bullish
258457062,AAPL,2020-11-22T03:32:42Z,b'$AAPL $TSLA Its like the entire congress is invested in funeral homes since they seem to not care that 200k people are getting covid a day and deaths are climbing probably soon gonna hit 400#000. 5 months+ to negotiate a relief deal was not enough so house and senate shall go on vacation# while president is in denial. Dumbass government# china must be laughing.',None
258456953,AAPL,2020-11-22T03:30:59Z,b'$SPY $TSLA $AAPL $5 weekly alerts for all the best swing and day trades before they happen.. text 9177087857 saying you\xe2\x80\x99re interested for the rundown.. My swing trades always hit and my day trades always take profit before they dip\xf0\x9f\x9a\x80\xf0\x9f\x91\x8c',None
258456779,AAPL,2020-11-22T03:28:29Z,b'$AAPL will this hit $200 in 2022 guys?',Bullish
258456077,AAPL,2020-11-22T03:16:08Z,b'$SPY $QQQ $AAPL $AMZN $MSFT  \nquiz - Who is a draft dodging coward who claimed to have bone spurs? Who paid $750 bucks in the past 15 years in Federal income tax while becoming a BILLIONAIRE?  Who destroyed the reputation of America in the International community? Who has raped and assaulted countless women yet still made it into political office?  Who tried to cohere a foreign government to make allegations against a political rival? Who will go down in history as making 10&#39;s of thousands of verifiable lies to the American people? Who is going down in history as a losing an election by MILLIONS of votes yet tried to circumvent the constitution to steal an election?  yep# the CON',None
258456065,AAPL,2020-11-22T03:16:01Z,b'5 Secrets From a Millionaire Options Trader\n\nhttps://www.smartoptions.ai/post/secretsfromamillionaire\n\n$SPY $AAPL $TSLA',None
258455977,AAPL,2020-11-22T03:14:29Z,b'$AAPL who\xe2\x80\x99s correct ? Wedbush or Goldman Sachs ?? $190 vs $95 PT',None
258455907,AAPL,2020-11-22T03:13:17Z,b'$AAPL The analyst is maintaining his $150 12-month AAPL price target# based on a sum-of-the-parts valuation on its 2021 fiscal estimates. Broken down# that&#39;s based on a 15x multiple to Services at about $900 billion and a 7.3x multiple on Apple&#39;s hardware business at $1.7 trillion.',None
