ID,Symbol,CreateTime,Body,Sentiment
257925520,TSLA,2020-11-19T17:40:47Z,b'$TSLA I swear I bears so so stupid sometimes',Bullish
257925486,TSLA,2020-11-19T17:40:42Z,b'$TSLA losing momentum \xf0\x9f\x98\x96',Bearish
257925441,TSLA,2020-11-19T17:40:37Z,b'$SPY $DJIA $AAPL $TSLA buyer beware.',Bearish
257925384,TSLA,2020-11-19T17:40:28Z,b'$TSLA Imagine thinking today would go red .....lolll',None
257925365,TSLA,2020-11-19T17:40:24Z,b'$TSLA drops less than 2% bears come out and call a win for them. Lol',None
257925344,TSLA,2020-11-19T17:40:22Z,b'$TSLA fellow tesla bulls# you guys are more than welcome to join the party# were just getting started $BLNK $SBE',Bullish
257925339,TSLA,2020-11-19T17:40:21Z,b'$SPCE $30&#39;s coming quick \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 $TSLA',Bullish
257925057,TSLA,2020-11-19T17:39:35Z,b'$TSLA 600 by SP500 inclusion day!',Bullish
257924842,TSLA,2020-11-19T17:38:58Z,b'$TSLA it will fade slowly until Monday..killing premiums',None
257924657,TSLA,2020-11-19T17:38:29Z,b'$TSLA people selling pennies. You have been given answers to the test (index forced to buy in December) this trade is going to be epic',Bullish
257924627,TSLA,2020-11-19T17:38:25Z,b'$TSLA buffet needs your shares...but he don&#39;t want to pay for them',Bullish
257924450,TSLA,2020-11-19T17:37:58Z,b'$TSLA takin a breather for next leg up',Bullish
257924273,TSLA,2020-11-19T17:37:31Z,b'Tesla# Lucid# Rivian# and others join forces to create ZETA: a push for electric cars only by 2030 - Electrek\n\nThe EV Revolution forms a lobby group much like the oil industry did in the 1900\xe2\x80\x99s to push gasoline cars!\n\nThis is massive news for the EV industry!\n\n$TSLA $WKHS $KNDI https://electrek.co/2020/11/17/tesla-lucid-rivian-join-forces-zeta-push-electric-only-2030/',None
257924265,TSLA,2020-11-19T17:37:29Z,b'$TSLA\n retarded bears!!',None
257924234,TSLA,2020-11-19T17:37:25Z,b'$TSLA who else is waiting for $440',Bullish
257924185,TSLA,2020-11-19T17:37:19Z,b'$TSLA \n\nBulls win# bears die. \n\nThis is true on Tesla \xf0\x9f\x98\x82\xf0\x9f\x98\x82',Bullish
257924158,TSLA,2020-11-19T17:37:16Z,b'$TSLA check out those Level 2 quotes!!! I see multiple orders for THOUSANDS of shares worth approx half million in value for each order. How big of a stake do you think Buffet is taking? When do you think he makes a formal announcement and sends this to Mars?',Bullish
257924108,TSLA,2020-11-19T17:37:09Z,b'$SPY Not doing to much in choppy markets although I am leaning bullish. \n\nKeeping on the bullish plays I have. Even added some SPY 262 calls @ 3.70 for 12/14.\n\nAccumulated a large $AAPL position in the mid-short term account. \n\nEV $BLNK slaughtering. As well as $TSLA in the wealth building portfolio. EV across the board is on fire today. $RKT nice dipping. Avg is 19.00 but still good to watch. Hasn\xe2\x80\x99t been the best mover lately. \n\nStill sitting sidelines for the personal folder waiting for choppy markets to decide. Much uncertainty in market of stimulus. President. Covid. I don\xe2\x80\x99t have any excitement about jumping bullish or bearish in to positions yet.',None
257924089,TSLA,2020-11-19T17:37:07Z,b'$TSLA Timber...',Bearish
257924013,TSLA,2020-11-19T17:36:56Z,b'$TSLA Bulls counting there achievements. Watch here&gt;&gt;&gt;\n https://www.youtube.com/watch?v=4Quho0Wo090&amp;feature=youtu.be &lt;&lt;&lt; Bears love hibernation always. Check disclaimer in my profile.',None
257923925,TSLA,2020-11-19T17:36:42Z,b'$TSLA this will play along with the market this afternoon# if we continue a red down then down tsla goes alittle more.  If market goes green# well can I say ATH coming up',None
257923879,TSLA,2020-11-19T17:36:36Z,b'$TSLA Dim sum time\xf0\x9f\xa5\x9f\xf0\x9f\xa5\x9f\xf0\x9f\x8d\xa4\xf0\x9f\x8d\xa4\xf0\x9f\x8d\x9a\xf0\x9f\x8d\x9a',Bullish
257923709,TSLA,2020-11-19T17:36:12Z,b'$TSLA  $478 or les by end of day today- options drive prices!!',None
257923549,TSLA,2020-11-19T17:35:45Z,b'$TSLA\n why is it dumping!!',None
257923409,TSLA,2020-11-19T17:35:20Z,b'$TSLA slap that ask',None
257923388,TSLA,2020-11-19T17:35:16Z,b'$TSLA BULLS# it\xe2\x80\x99s really not that hard to know what to do. More sensible news is waiting for you# don&#39;t let it slip away https://bit.ly/PotentialMentalHealthMarkets let&#39;s make those bears cry bulls!\nCheck disclaimer on profile',Bullish
257923383,TSLA,2020-11-19T17:35:16Z,b'$TSLA If I\xe2\x80\x99m a fund manager# I\xe2\x80\x99m getting in now because I don\xe2\x80\x99t want to pay 650 next month when everyone else has to get in.',Bullish
