ID,Symbol,CreateTime,Body,Sentiment
256415306,AAPL,2020-11-13T09:27:49Z,b'$AAPL A Biden COVID-19 advisor called for a national lockdown lasting up to 6 weeks. The US had a &#39;big pool of money&#39; to pay for any lost wages# he said.\n\nI hope not \xe2\x80\x98',None
256415166,AAPL,2020-11-13T09:25:39Z,b'$AAPL the trend is your friend# break 120 and slow upward trend to 130s',Bullish
256414741,AAPL,2020-11-13T09:18:22Z,b'$AAPL $MSFT $ZM \nThis is last chance to buy',Bullish
256414280,AAPL,2020-11-13T09:09:55Z,b'$AAPL $AMD $MRNA  &#39;&#39;Largest trading community- I made $52k in a week. stocktwits.com/Brendankelly/message/255566265',None
256413848,AAPL,2020-11-13T09:00:38Z,b'$AAPL \nBuy',Bullish
256413785,AAPL,2020-11-13T08:58:51Z,b'$AAPL crazy demented Commie Joe Biden already ruining greatest stock market in history ...it&#39;s a harbinger of worse things to come ....hang on for a great 4 year downhill ride',Bearish
256413776,AAPL,2020-11-13T08:58:35Z,b'5 Bad Habits of An Options Trader (and the Solutions)\n\nwww.smartoptions.ai/post/badhabits\n\n$spy $aapl $tsla',None
256413161,AAPL,2020-11-13T08:39:49Z,b'Apple and Google could compete in health# but that would mean more regulation# says Prudential CEO        \n$PRU-GB# $AAPL# $GOOGL #google #apple\nhttps://stockxpo.com/apple-and-google-could-compete-in-health-but-that-would-mean-more-regulation-says-prudential-ceo/',None
256413105,AAPL,2020-11-13T08:38:24Z,b'$AAPL heyy where will you all trade today?!!',None
256412937,AAPL,2020-11-13T08:33:29Z,b'BREAKING: China congratulates U. S. President-elect# Joe Biden\n\nhttps://pageone.ng/2020/11/13/breaking-china-congratulates-u-s-president-elect-joe-biden/\n\n$AAPL $TSLA $TCEHY $BABA $NIO',None
256412841,AAPL,2020-11-13T08:31:04Z,b'LinkedIn Glitch Led To Inflated Video And Ad Metrics For More Than Two Years\n\nRelated Tickers: $AAPL $FB $MSFT $ORCL',None
256412577,AAPL,2020-11-13T08:23:06Z,b'LinkedIn Glitch Led To Inflated Video And Ad Metrics For More Than Two Years  $MSFT $AAPL $FB $ORCL \n\nhttps://newsfilter.io/a/cb47f5ee4a82043438fc02b868e7d69e',None
256412318,AAPL,2020-11-13T08:15:13Z,b'That dip was a great buying opportunity. It&#39;s hard to get the exact bottom but going with the trend is more important. I\xe2\x80\x99ve made 45k in last 10 days with them https://stocktwits.com/hollyibbott/message/256399841 \n\n$VXRT $AAL $GE  $AAPL $li',Bullish
256412198,AAPL,2020-11-13T08:10:40Z,b'$AAPL https://stockcharts.com/articles/dont_ignore_this_chart/2020/11/forget-about-aapl-what-is-happ-251.html',None
256412167,AAPL,2020-11-13T08:09:42Z,b'$aapl  Apple Let\xe2\x80\x99s go !!!',None
256411965,AAPL,2020-11-13T08:03:56Z,b'$AAPL time to buy. long Jan and Mar 120/140 call spreads',None
256411840,AAPL,2020-11-13T07:59:48Z,b'$TSLA  $Aapl  going same way during two months but things will be changed soon !  Tesla must touch $465 snd Apple must touch $126',None
256411795,AAPL,2020-11-13T07:58:26Z,b'The Secrets They Don&#39;t Want You To Know.\n\nhttps://www.smartoptions.ai/post/secretsyoushouldknow\n\n$spy $tsla $aapl',None
