ID,Symbol,CreateTime,Body,Sentiment
255140820,AAPL,2020-11-08T15:58:32Z,b'$AAPL planing to hold till 2025.  How much it might go in 2025?',Bullish
255140717,AAPL,2020-11-08T15:57:23Z,b'$AAPL -  One of my personal favorite swing trade setups# trend break# consolidate# blast off! You can see the last time we broke the down trend# consolidated for a bit then saw a nice move up# and I&#39;m thinking AAPL is setting up here for a similar move. I&#39;m thinking it can continue consolidating in this 116-119 range. Couple things to watch for# how will big tech like a democrat in office? Also# Apple has an event on 11/10 where they will be announcing their new Macbook. As we all know all these events have been (buy the rumor sell the news)',None
255140250,AAPL,2020-11-08T15:51:37Z,b'$SPY $AAPL $MSFT I think this has a lot of room to run!! YAY YAYA YAAYA.. just kidding fuck this and drop to 100 apple and micrsoft to 190 monday.. thank you',Bearish
255140185,AAPL,2020-11-08T15:50:37Z,b'GOLDMAN SACHS: &quot;Assuming the FDA approves at least one vaccine by January and mass immunization of the general population starts shortly thereafter# as we expect# growth should pick up sharply in Q2.&quot; $SPY $QQQ $IWM $AAPL',Bullish
255140139,AAPL,2020-11-08T15:50:07Z,b'$QQQ $SPY $AAPL $DJIA Do you really think that it is a coincidence that China virus happened on an election year. Corona is what allowed so much fraud through mail in ballots. \nChina owns all of you \xf0\x9f\x87\xa8\xf0\x9f\x87\xb3',Bearish
255140054,AAPL,2020-11-08T15:48:38Z,b'$AAPL AAPL analisis 2da semana NOVIEMBRE-2020. Desde el 3 de Noviembre#  NASDAQ:AAPL  viene moviendose de forma tal que',Bullish
255140044,AAPL,2020-11-08T15:48:28Z,b'$NIO $tsla $amzn $AAPL',Bullish
255139957,AAPL,2020-11-08T15:47:18Z,b'$QQQ $SPY $AAPL Stick a fork in it. The market is now CRASH READY! https://www.multpl.com/s-p-500-price-to-sales',Bearish
255139929,AAPL,2020-11-08T15:46:47Z,b'$AAPL \xf0\x9f\xa4\xa3',None
255139814,AAPL,2020-11-08T15:45:02Z,b'$SPY $AAPL $FB $AMZN $BTC.X \n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nIf I\xe2\x80\x99m a Republican today I will be very proud that there\xe2\x80\x99s not riots in the streets \xf0\x9f\x91\x8d',None
255139740,AAPL,2020-11-08T15:44:00Z,b'$AAPL: The long and short term trends are both positive. This is looking good! https://www.chartmill.com/stock/quote/AAPL/technical-analysis?key=bb853040-a4ac-41c6-b549-d218d2f21b32&amp;utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=AAPL&amp;utm_campaign=social_tracking',None
255139704,AAPL,2020-11-08T15:43:41Z,b'$AAPL if Bobo Joe believes he won then why not a recount and verification of all the ballots?  Gee I wonder why they won\xe2\x80\x99t agree to that. He wants to win fairly and legally# doesn\xe2\x80\x99t he?  Dem party is a joke and an embarrassment  to America.  All Dems should be ashamed as human beings.',None
255139422,AAPL,2020-11-08T15:40:26Z,b'$AAPL Trump going out as he came in-- Whining about massive voter fraud. Remember the 6 million votes from illegal aliens in 2016 that robbed him of the popular vote? The one he ordered a commission to investigate# that found NOTHING? Remember how he promised to &#39;lock her up&#39;# based on bullshit that never materialized? Remember how Obama was a Kenya born Muslim communist who wasn&#39;t legally eligible to be elected? The rubes still hang on to all of the lies. He&#39;s reached a dead end.',None
255139175,AAPL,2020-11-08T15:36:13Z,b'$AAPL doesn\xe2\x80\x99t take a genius to figure out there were serious voting illegalities in at least MI# PA# WI# GA and AZ and NV.  Dems cheated and are pushing an illegitimate buffoon as president.  He will never be my president.  Never.',None
255138977,AAPL,2020-11-08T15:33:42Z,b'$TECS loaded for bear. $AAPL',None
255138629,AAPL,2020-11-08T15:28:25Z,b'$AAPL inglorious B.  You\xe2\x80\x99re another ill - informed# ignorant# unpatriotic American. You\xe2\x80\x99re an embarrassment to the US.  Let\xe2\x80\x99s get the Biden impeachment going now.  There is actual evidence proving he\xe2\x80\x99s a criminal. Do your own research fool.  My god..',None
255138539,AAPL,2020-11-08T15:26:59Z,b'$AAPL $BA $PLTR $SNAP  I&#39;ve  made 36k  with them. If you really want to make a huge profit on trading .... Choose this professional chat:  https://stocktwits.com/tennillestine/message/254782859',Bullish
255137729,AAPL,2020-11-08T15:16:03Z,b'$TSLA $AUPH $AMZN $AAPL Trump did it!! He finally MAGA by receiving the [SECOND!\xf0\x9f\xa4\xa3] most votes ever# losing the popular vote TWICE for the first time EVER# and losing the presidency as an incumbent to \xe2\x80\x9cthe worst presidential candidate ever.\xe2\x80\x9d',Bullish
