ID,Symbol,CreateTime,Body,Sentiment
255533465,FB,2020-11-10T02:59:00Z,b'$SPY Bulls now and tomorrow :D $AAPL $FB $TSLA # I remember this morning at 366 somebody said where are the bears LOL',Bearish
255533068,FB,2020-11-10T02:56:07Z,b'$FB Got in with big position# bring back yesterday night momentum back.',Bullish
255532244,FB,2020-11-10T02:49:50Z,b'$FB i have a feeling we will see some bounce tomotrow',Bullish
255532082,FB,2020-11-10T02:48:34Z,b'$FB Who are these fools saying 250 on this board? Do you not know what kind of company this is? They smashed last earnings and will do even bigger in Q4',Bullish
255531473,FB,2020-11-10T02:43:33Z,b'$FB mid 270&#39;s tomorrow loss extention should stop there',None
255531038,FB,2020-11-10T02:40:21Z,b'$FB',None
255530858,FB,2020-11-10T02:39:04Z,b'$FB 250 soon?',None
255530848,FB,2020-11-10T02:38:57Z,b'$FB Facebook removes network of pages tied to former Trump advisor Steve Bannon\n\nhttps://www.cnbc.com/2020/11/09/facebook-removes-pages-tied-to-former-trump-advisor-steve-bannon.html',None
255530075,FB,2020-11-10T02:33:03Z,b'$SPY $AAPL $FB $AMZN $BTC.X \n\xe2\x9c\x85 ROBINHOODERS EFFECT \n\xe2\x80\x9cRelationship between Robinhooders Actions and Stock Prices Change\xe2\x80\x9d\n\nTODAY 10 BEST and WORST PERFORMANCE of the 100 MOST POPULAR Stock held by ROBINHOODERS:\n\n1: AMC +51.41%\n  \n2: CCL +39.29%\n  \n3: PLAY +33.30%\n  \n4: GUSH+32.30%\n  \n5: RCL +28.79%\n  \n6: KOS +28.28%\n  \n7: NCLH +26.75%\n  \n8: LYFT +26.31%\n  \n9: TXMD +24.59%\n  \n10: MRO +23.24%\n\n\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94-\n\n91: HEXO -7.37%\n  \n92: NFLX -8.59%\n  \n93: PYPL -8.88%\n  \n94: ZNGA -8.93%\n  \n95: SNAP -9.43%\n  \n96: GPRO -9.46%\n  \n97: ZM -17.37%\n  \n98: SRNE  -17.48%\n  \n99: INO -19.28%\n  \n100: PTON -20.29%',None
255528386,FB,2020-11-10T02:21:00Z,b'$FB was analyzed by 32 analysts. The buy consensus is at 96%. So analysts seem to be very confident about $FB. https://www.chartmill.com/stock/analyzer/stock/FB?view=analyst-ratings&amp;utm_source=stocktwits&amp;utm_medium=ANALYST&amp;utm_content=FB&amp;utm_campaign=social_tracking',None
255527101,FB,2020-11-10T02:11:06Z,b'$FB NEW ARTICLE : Facebook removes network of pages linked to Steve Bannon https://www.stck.pro/news/FB/9022029',None
255526236,FB,2020-11-10T02:04:38Z,b'$FB',None
255526095,FB,2020-11-10T02:03:39Z,b'$FB $TWTR $GOOG These companies stock will drop due to republican news suppression!       Will they report this breaking news!     Attorney General authorizes federal prosecutors to investigate voting\n https://mol.im/a/8931713',None
255525815,FB,2020-11-10T02:01:24Z,b'$FB Failed breakout.  Filled one gap.',None
