ID,Symbol,CreateTime,Body,Sentiment
257391020,TSLA,2020-11-17T22:08:12Z,b'$TSLA do you still think it Will be green tomorrow??\xf0\x9f\x98\x82',Bearish
257390873,TSLA,2020-11-17T22:07:37Z,b'Factbox: Battery fires put automakers in hot seat over EVs  $GM $F $TSLA \n\nhttps://newsfilter.io/a/bd9142b87d242f873be72ca0ff62d17d',None
257390872,TSLA,2020-11-17T22:07:37Z,b'Hyundai faces lawsuit over EV fires as GM launches recall  $GM $TSLA $F \n\nhttps://newsfilter.io/a/e0481beb450226b5e85fd5cbe0e35a7b',None
257390617,TSLA,2020-11-17T22:06:46Z,b'$TSLA It was green all night red (for me) all day and I bet you it will be green all night# \xf0\x9f\x99\x84 it doesn\xe2\x80\x99t help those of us who only trade between 9:30 and 4. Haha',None
257390356,TSLA,2020-11-17T22:05:50Z,b'$NIO Lot of people crunch numbers and justify the reason to buy or not to buy. These names are beyond that. $TSLA $ZM are some other names where numbers don&#39;t make sense and yet there are more buyers than sellers. It is about secret sauce that are not in the books and often missed by many. It may be garbage for some and some will make a ton off this name. If this had to tank it would have done it already. Look at $ENPH after Cit&quot;moron&quot; short. This is going to 58 in few days wether you like it or not.',Bullish
257390262,TSLA,2020-11-17T22:05:35Z,b'$NIO Remember all the chinese people are still driving $TSLA',None
257390009,TSLA,2020-11-17T22:04:40Z,b'$TSLA For insight into tomorrow morning# just look to last Monday to Tuesday...',Bearish
257389883,TSLA,2020-11-17T22:04:13Z,b'$TSLA Market was red today and it still held up pretty good',Bullish
257389653,TSLA,2020-11-17T22:03:27Z,b'$LCTX Did Brian just compare the OpRegen therapy to a $TSLA?',None
257389235,TSLA,2020-11-17T22:01:56Z,b'$TSLA Bollinger band cross + MA cross + engulfing + massive volume on puts today. Could go either way from here# I see \xf0\x9f\x91\x80 more pain punishing the hype and next week it flies',None
257388660,TSLA,2020-11-17T22:00:03Z,b'$TSLA I took profits on leaps then bought more leaps on the dip. Stop dipping now please.',None
257388552,TSLA,2020-11-17T21:59:41Z,b'$NIO $TSLA $LI $XPEV  https://electrek.co/2020/11/17/tesla-lucid-rivian-join-forces-zeta-push-electric-only-2030/\nInteresting \xf0\x9f\xa4\x94',Bullish
257388477,TSLA,2020-11-17T21:59:22Z,b'$TSLA glad I took profits in the AM. No regrets.',None
257388214,TSLA,2020-11-17T21:58:27Z,b'$TSLA $NIO sell nio Scam China and come to profitable tesla',None
257388062,TSLA,2020-11-17T21:57:57Z,b'$TSLA I feel like whoever would short or take profits has already done so.',None
257387917,TSLA,2020-11-17T21:57:33Z,b'$TSLA holding up well ...I see y&#39;all \xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1 tomorrow $$$$$$ Come again !!!!',Bullish
257387811,TSLA,2020-11-17T21:57:15Z,b'$Nio  GDP per capita is around $25#000 and the cheapest car they sell is $54#000 after subsidy...Wait for $tsla to cut model Y price# then this China stock is done.',None
257387576,TSLA,2020-11-17T21:56:29Z,b'$NIO $TSLA $NKLA Nio has gone to the dark side.  Horns head straight downwards! \xf0\x9f\x98\x88',Bearish
257387515,TSLA,2020-11-17T21:56:17Z,b'$NIO no audit = scam scam scam scam# buy $TSLA instead',Bearish
257387330,TSLA,2020-11-17T21:55:43Z,b'$TSLA 420 blaze it',Bearish
257387214,TSLA,2020-11-17T21:55:23Z,b'Hurry up and Buy# buy# buy... $AAPL $TSLA $DKNG $PLTR $SPY',Bullish
257386898,TSLA,2020-11-17T21:54:27Z,b'$TSLA price went up 8% in a heartbeat# everyone with half a brain made thousands.\nbears: iTs sHoRTinG tImE!1!!1!! \nim glad the bears here are so retarded# the calls i set up are probably gonna let me retire. please dont cover and just let em ride till theyre the story of how you went broke and we stuck gold.',Bullish
257386756,TSLA,2020-11-17T21:54:00Z,b'$NIO this is just going to boost $TSLA $F and $GM   buy American',None
257386552,TSLA,2020-11-17T21:53:21Z,b'$TSLA here comes the NIO refugees tomorrow',Bullish
257386098,TSLA,2020-11-17T21:51:57Z,b'$TSLA  someone put over 8 million into options',Bullish
257386097,TSLA,2020-11-17T21:51:57Z,b'$TSLA  $NIO',None
257386031,TSLA,2020-11-17T21:51:46Z,b'$WMT Down 2% even after posting better than expected result and $TSLA up 8% after news that the stock will be added to the S&amp;P 500. Now tell me the market doesn&#39;t have favoritism and manipulation.',None
257385866,TSLA,2020-11-17T21:51:17Z,b'$TSLA that&#39;s a great day bulls## she&#39;s going to run around to the eoy. Stay focused news on deck and big boys will find their places\xf0\x9f\x98\x89',Bullish
257385728,TSLA,2020-11-17T21:50:49Z,b'$SPY $TSLA $AAPL While the rest of you play paddy cake all day me and my followers are tracking the real data.  Such as &quot;how many baby yoda gifs does it take to be profitable&quot;  Follow for more mind bending market observations.',Bullish
257385017,TSLA,2020-11-17T21:48:36Z,b'$U something tells me this will become another cult-like ticker.  Similar to $TSLA and $NIO.  Which means shorting this is probably a dumb idea.',Bullish
257384719,TSLA,2020-11-17T21:47:41Z,b'$TSLA I love being optimistic about the stock going up as you can see in my profile pic but some bulls are just stupid. Be realistic now. \xe2\x80\x9c500 at open\xe2\x80\x9d \xe2\x80\x9c600 at open\xe2\x80\x9d just shut the fuck up. \xf0\x9f\x98\x82',None
