ID,Symbol,CreateTime,Body,Sentiment
258109105,TSLA,2020-11-20T09:27:42Z,b'$TSLA 515 by end of month# easy',Bullish
258109033,TSLA,2020-11-20T09:26:14Z,b'$TSLA',Bullish
258108971,TSLA,2020-11-20T09:24:58Z,b'$TSLA I like it when PM this time it\xe2\x80\x99s like this not going up crazy and wild ! Same like yesterday it will go up once marker opens at 9:30 ! For the past 3 months before the announcement of the SnP it will go up PM and then goes down or trade sideways when marker opens. \nI believe it\xe2\x80\x99s better this way',Bullish
258108959,TSLA,2020-11-20T09:24:47Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $500 Calls\n12/24/2020 Exp\n\nTrade Volume: 300 Contracts\n\n$1#272#000 was traded now.\n\nCurrent Stock Price: $492.06\n\nTrade Type: Sweep\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258108932,TSLA,2020-11-20T09:24:26Z,b'$TSLA 500 on deck \xe2\x9c\x85',None
258108928,TSLA,2020-11-20T09:24:19Z,b'$TSLA Tesla: The High Price of S&amp;P 500 Inclusion. \n \nTo secure four consecutive profitable quarters# even after benefiting from repeated credit sale bonanzas# Tesla had to slash its capital expenditure budget and other internal growth investments to the bone.  \nFrom a high of $3.41 billion in 2017# capex fell to $1.33 billion in 2019. Factoring in depreciation# Tesla actually had negative net capex last year# despite bringing a new factory on line in China. \nIn the first three quarters of 2020# Tesla spent just $2.01 billion on capex. While the company has promised a surge in capex in 2021# it has a lot of ground to make up.  \nChronic underinvestment and short-term strategic thinking are already weighing on Tesla. Indeed# according to the latest reliability survey from Consumer Reports# Tesla is now the second least reliable major automaker. Reversing that trend is likely to prove expensive and may undermine its ability to continue reporting positive earnings. \nhttps://www.gurufocus.com/news/1292473/tesla-the-high-price-of-sp-500-inclusion',Bearish
258108813,TSLA,2020-11-20T09:22:08Z,b'$TSLA open 510',Bullish
258108621,TSLA,2020-11-20T09:18:28Z,b'$NIO Can someone please call or text Left &amp; asked him if he&#39;s ready to trade that $TSLA he received for that hit piece for the new $NIO sedan.',None
258108586,TSLA,2020-11-20T09:17:44Z,b'$TSLA factory working at 30% capacity# most people sick of covid quarantined',None
258108490,TSLA,2020-11-20T09:16:01Z,b'5 Genius Ways to Minimize Risk As An Options Trader\n\nsmartoptions.ai/post/minimize-risk\n\n$spy $aapl $tsla',None
258108428,TSLA,2020-11-20T09:14:57Z,b'$TSLA The squeeze is on!',Bullish
258108302,TSLA,2020-11-20T09:12:45Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$TSLA $500 Calls\n01/15/2021 Exp\n\nTrade Volume: 176 Contracts\n\n$1#024#320 was traded now.\n\nCurrent Stock Price: $497.38\n\nTrade Type: Split\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.\nSmartOptions.ai',Bullish
258108240,TSLA,2020-11-20T09:11:31Z,b'$TSLA https://www.youtube.com/watch?v=DOUFy93QHu0 \n \nIn TSLA we trust. Thanks for watching!',Bullish
258108237,TSLA,2020-11-20T09:11:29Z,b'$SHOP A sleeping# big-bellied dragon.  4 months in hibernation. \n When it awakens# it will need to be fed.  Get ready.  CMF gonna flip.  Is everyone ready for $TSLA and $SHOP to feast like freakin&#39; beasts?  Prepare yourselves.  $SPY $QQQ',Bullish
258108056,TSLA,2020-11-20T09:08:10Z,b'$TSLA Yesterday skunk  Consumer report tried to hold this down.  Today may be Citron research might come up with something',None
258107987,TSLA,2020-11-20T09:07:07Z,b'$TSLA 500 is a number that will take a while to be beaten# it is a psychological selling level for a lot of people# thus a resistance. I expect it to go lower before breaking out to ATH',Bullish
258107960,TSLA,2020-11-20T09:06:49Z,b'$TSLA - Swing Trade Long Update\xe2\x80\xa6 - https://www.tradingview.com/chart/TSLA/fbb0dLSh-Swing-Trade-Long-Update-Tesla-TSLA/',Bullish
258107950,TSLA,2020-11-20T09:06:44Z,b'$TSLA The plan for today....Gap and go!',Bullish
258107936,TSLA,2020-11-20T09:06:22Z,b'$TSLA that was rather quick',None
258107865,TSLA,2020-11-20T09:05:06Z,b'$TSLA',Bullish
258107859,TSLA,2020-11-20T09:04:57Z,b'$TSLA  next week will be epic so many bears didn\xe2\x80\x99t cover \xf0\x9f\xa4\x94 bulls going to rip hard again yes Indeed',Bullish
258107763,TSLA,2020-11-20T09:02:33Z,b'$TSLA can someone explain to me why the MA20 changes when I change the timeframe from daily to weekly?  Or 1d chart to 1 month chart?  Very confused...',Bullish
258107623,TSLA,2020-11-20T08:59:34Z,b'$TSLA NOW READY FOR DEPARTURE# $610 TODAY',None
258107385,TSLA,2020-11-20T08:53:07Z,b'$TSLA Here you go \xf0\x9f\x9a\x80 \xf0\x9f\x9a\x80 \xf0\x9f\x9a\x80 \xf0\x9f\x9a\x80 \xf0\x9f\x9a\x80',Bullish
258107271,TSLA,2020-11-20T08:49:42Z,b'$TSLA https://www.youtube.com/watch?v=DOUFy93QHu0 \n \nTSLA is ready to run to 600!',Bullish
258107153,TSLA,2020-11-20T08:46:42Z,b'$TSLA you\xe2\x80\x99re all so blind. Think outside the box# and for god\xe2\x80\x99s sakes# look.  \n$GUSH $AAPL $BABA',Bearish
258107008,TSLA,2020-11-20T08:42:53Z,b'$TSLA NEW ARTICLE : &#39;Wild Times#&#39; Says Elon Musk As Tesla# SpaceX Combined Valuation Shoots Past $500B https://www.stck.pro/news/TSLA/9217404',None
258106928,TSLA,2020-11-20T08:41:05Z,b'$TSLA how realistic is $580 by new years? When do they officially get included and does the money that is required to be invested in the company gonna pump the price?',None
258106826,TSLA,2020-11-20T08:38:03Z,b'$TSLA  Tesla in Germany.',None
258106783,TSLA,2020-11-20T08:36:50Z,b'$TSLA',None
258106661,TSLA,2020-11-20T08:33:22Z,b'$PLTR Come back next year and this post +400% $BLNK $SRNE $TSLA $GNUS',None
258106526,TSLA,2020-11-20T08:30:04Z,b'$TSLA Solid Investment Plays: Tesla (TSLA) and Bitcoin (BTC) and Why It Is on a Bullish Run https://youtu.be/DOUFy93QHu0\n\nTSLA analysis is in the link below. Thanks for watching and supporting! Can it break 600?',Bullish
